@relation du-lieu-ktdl-20

@attribute n1 numeric
@attribute n2 numeric
@attribute n3 numeric
@attribute n4 numeric
@attribute n5 numeric
@attribute n6 numeric
@attribute n7 numeric
@attribute n8 numeric
@attribute n9 numeric
@attribute n10 numeric
@attribute n11 numeric
@attribute n12 numeric
@attribute n13 numeric
@attribute n14 numeric
@attribute n15 numeric
@attribute n16 numeric
@attribute n17 numeric
@attribute n18 numeric
@attribute n19 numeric
@attribute n20 numeric
@attribute n21 numeric
@attribute n22 numeric
@attribute n23 numeric
@attribute n24 numeric
@attribute n25 numeric
@attribute n26 numeric
@attribute n27 numeric
@attribute n28 numeric
@attribute n29 numeric
@attribute n30 numeric
@attribute n31 numeric
@attribute n32 numeric
@attribute n33 numeric
@attribute n34 numeric
@attribute n35 numeric
@attribute n36 numeric
@attribute n37 numeric
@attribute n38 numeric
@attribute n39 numeric
@attribute n40 numeric
@attribute n41 numeric
@attribute n42 numeric
@attribute n43 numeric
@attribute n44 numeric
@attribute loaihinh {dinosaur,elephant,flower,horse}

@data
0.859314,0.140686,0.487417,0.499929,0.567528,0.486479,0.035581,0.044105,0.038396,0.043507,0.074721,0.554838,0.497871,0.03767,0.043509,0.196411,0.581025,0.492929,0.038848,0.043795,0,0.107572,0,0.260617,0.047804,0.584007,0,0.930239,0,0,0.014868,0.054893,0,0,0,0.44194,0,0.55806,0,0.799644,0,0.062043,0.012781,0.125532,dinosaur
0.867137,0.132863,0.500946,0.496984,0.483949,0.50491,0.036072,0.043975,0.035454,0.044324,0.070258,0.501826,0.538207,0.035825,0.045237,0.173381,0.493602,0.521228,0.035806,0.045034,0,0.093464,0,0.445201,0.231812,0.229524,0,0.930047,0,0,0.063477,0.006476,0,0,0,0.645221,0.074372,0.280407,0,0.806519,0,0.085698,0.064924,0.042859,dinosaur
0.933156,0.066844,0.496729,0.497329,0.526023,0.507912,0.035919,0.043991,0.036967,0.044455,0.066079,0.515546,0.508363,0.036311,0.043965,0.123912,0.54594,0.505179,0.037657,0.044336,0.008784,0.169691,0,0.076348,0.316312,0.428865,0,0.821133,0,0,0.167988,0.010879,0.020393,0,0,0.205144,0.05159,0.722873,0.001363,0.766246,0,0.013713,0.160207,0.058472,dinosaur
0.716827,0.283173,0.500511,0.506814,0.494072,0.475819,0.036056,0.044408,0.035823,0.043028,0.078743,0.453942,0.521145,0.034073,0.044514,0.285421,0.507349,0.493621,0.036301,0.043825,0,0.076948,0,0.403593,0.049754,0.469706,0,0.664708,0,0,0.287553,0.047739,0,0,0,0.566673,0.000108,0.433219,0,0.476733,0,0.160251,0.206266,0.15675,dinosaur
0.853149,0.146851,0.510748,0.475508,0.428624,0.62891,0.036423,0.043014,0.033366,0.049473,0.079536,0.454512,0.61694,0.034094,0.048433,0.174632,0.448941,0.629578,0.034148,0.049494,0,0.141725,0,0.493097,0.061106,0.304072,0,0.871918,0,1190000000,0.104796,0.023275,0,0,0,0.742787,0,0.257213,0,0.744793,0,0.108308,0.089517,0.057383,dinosaur
0.805511,0.194489,0.500032,0.518121,0.49312,0.414858,0.036039,0.0449,0.03579,0.04018,0.073821,0.449906,0.492337,0.033921,0.043266,0.182556,0.49656,0.474165,0.035913,0.042953,5570000000,0.153237,0,0.106765,0.051376,0.688566,0,0.94456,0,0,0.014498,0.040942,0.000157,0,0,0.298724,0,0.701119,3050000000,0.760862,0,0.058096,0.011678,0.169334,dinosaur
0.862376,0.137624,0.483544,0.496709,0.593577,0.506355,0.03544,0.043963,0.039265,0.044387,0.071912,0.560279,0.53104,0.037854,0.044935,0.184224,0.586799,0.52544,0.03904,0.045216,0,0.088846,0,0.272943,0.097073,0.541137,0,0.640389,0,0,0.328363,0.031247,0,0,0,0.412952,0,0.587048,0,0.552268,0,0.056825,0.283178,0.107729,dinosaur
0.411377,0.588623,0.557403,0.273012,0.457652,0.655303,0.03805,0.032594,0.034478,0.050495,0.070669,0.575904,0.559392,0.038378,0.046119,0.360301,0.550858,0.675773,0.037826,0.051278,0,0.016262,0,0.81589,0.050058,0.11779,0,0.758383,0,0.146637,0.060781,0.034199,0,0,0,0.817354,0,0.182646,0,0.31234,0,0.541119,0.025033,0.121508,elephant
0.591644,0.408356,0.43458,0.55092,0.591569,0.421417,0.033598,0.0463,0.039199,0.040494,0.076238,0.55291,0.437275,0.037604,0.040775,0.474721,0.482006,0.487113,0.035383,0.043536,0,0.051128,0,0.126149,0.37249,0.450232,0,0.149602,0,0,0.568749,0.281649,0,0,0,0.283986,0.003417,0.712597,0,0.088553,0,0.115889,0.338049,0.45751,elephant
0.608978,0.391022,0.444316,0.394506,0.583366,0.659274,0.033972,0.03918,0.038926,0.050648,0.068908,0.494494,0.619755,0.035562,0.048543,0.409688,0.512087,0.722811,0.03647,0.053033,0,0.01974,0,0.474996,0.362442,0.142822,0,0.355132,0,0.022467,0.302598,0.319803,0,0,0,0.727136,0.016288,0.256576,0,0.216281,0,0.297982,0.190655,0.295082,elephant
